class_index,review_text
3,to be spectacularly outrageous
2,costumes by Gianni Versace
4,One of the most splendid entertainments to emerge from the French film industry in years .
1,soggy performances
1,of the worst possibilities of mankind
0,lame comedy .
1,a bitter taste
4,Fabulous
2,traces
1,gap
2,all those jokes
4,a whip-crack of a buddy movie
2,are thin and scattered
1,is a pity
2,The color sense
1,an unfunny movie that thinks it 's hilarious
2,by Spader and Gyllenhaal
2,most of whom
2,make Mel Brooks ' Borscht Belt schtick look sophisticated .
2,of a documentary
2,of production design
4,A visual spectacle full of stunning images and effects
2,Mr. Broomfield
1,starts off as a satisfying kids flck becomes increasingly implausible as it races through contrived plot points
1,hardly enough
2,Peter Jackson
0,We do n't get paid enough to sit through crap like this .
0,there surrender $ 9 and 93 minutes of unrecoverable life
3,The story is smart and entirely charming in intent and execution .
3,talented thesps
1,-- all are irrelevant to the experience of seeing The Scorpion King .
2,base level
2,of Palestinian and Israeli children
4,radiates star-power potential in this remarkable and memorable film
2,this documentary
1,waits grimly for the next shock without developing much attachment to the characters
3,Blessed with a searing lead performance by Ryan Gosling -LRB- Murder by Numbers -RRB-
2,the very people
2,Paxton 's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre .
1,so-called ` comedy '
2,angry bark
2,most of the actors
2,in danger of going wrong
2,ages-old
3,some sort of beacon of hope
2,for these characters
3,so many talented people
2,adolescent boys
2,boy weirdo role
2,American Indian Spike Lee
2,Dahmer 's two hours
1,made from a completist 's checklist rather than with a cultist 's passion .
2,so
2,pop-induced
2,of that background for the characters
2,autocritique
3,objective documentary
2,administration 's
2,church-wary
2,the characters ' -RRB-
3,are well done and perfectly constructed to convey a sense of childhood imagination
3,creative team
3,elegant and sly deadpan
2,-LRB- it -RRB-
2,for the role
3,scare while we delight in the images
1,high points to keep this from being a complete waste of time
2,expensive
3,of what was created for the non-fan to figure out what makes Wilco a big deal
2,quintet
2,any Oscars
2,probe questions
2,persnickety problems
2,common concern
3,can tolerate the redneck-versus-blueblood cliches that the film trades in
2,artsy pretensions
2,Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen
1,comedy only half as clever as it thinks it is
1,is just too bad the film 's story does not live up to its style .
0,drown yourself in a lake afterwards
2,Argentinian
1,tired
3,you reach the finale
2,staggered from the theater and
3,acceptable
0,A terrible movie that some people will nevertheless find moving .
2,into such message-mongering moralism
0,'s a road-trip drama with too many wrong turns .
2,total washout
2,shows you why
2,action and jokes
1,that they 're playing characters who sometimes feel more like literary conceits than flesh-and-blood humans
3,reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding
4,contemporary Chinese life this exciting new filmmaker has brought to the screen
2,be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience
2,the unfolding crisis
2,of his budget
1,is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale
0,comes across as lame and sophomoric in this debut indie feature
2,dirgelike score
3,If you 're not deeply touched by this movie
2,Zishe
0,One of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from Ms. Spears .
4,liked this film a lot ...
0,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .
3,is better .
0,headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender
2,wherein our hero must ride roughshod over incompetent cops to get his man
2,you already like this sort of thing
2,more than body count
2,before the pathology set in
2,Broomfield has compelling new material but
0,Derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone .
3,a touching love story
4,Viveka Seldahl and Sven Wollter will touch you to the core in a film you will never forget -- that you should never forget .
3,hand-held camera and documentary feel
2,premise and
1,not-so-Divine
2,par for the course for Disney sequels
1,of lazy tearjerker that gives movies about ordinary folk a bad name
1,Suffers from unlikable characters and a self-conscious sense of its own quirky hipness
1,You leave feeling like you 've endured a long workout without your pulse ever racing .
2,if possible -RRB-
3,the resourceful Molly
2,trembling
2,I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life
2,pasty lumpen
2,Tom Tykwer
2,answers
0,derive from this choppy and sloppy affair
2,Ritchie 's film
2,the Russian word
2,nothing but a camera
1,need of a scented bath
2,is no doubt
3,can not help be entertained by the sight of someone getting away with something
4,The film is explosive
2,and at
2,the all-too-familiar saga
2,Goldbacher -RRB-
3,a dazzling conceptual feat
4,gorgeously strange movie
2,chewy
2,time-switching myopic mystery
2,hot-button issues
1,banal as the telling
2,more fun
3,scoring high for originality of plot
2,did n't mind all this contrived nonsense a bit
2,free of her old life
0,a tendency to sag in certain places
2,Stuart and
2,italicized
2,unburdened
2,youthful and
2,Mermaid
2,looking down at your watch
2,be liked by the people who can still give him work
2,CIA
4,Dench who really steals the show
1,doofus
1,it was only made for teenage boys and wrestling fans
2,confronting
1,Losin ' his fan base
2,what to whom
0,never comes close to recovering from its demented premise
2,Ryoko Hirosue
2,A soap-opera quality twist
2,Plympton 's
1,better at fingering problems than finding solutions
2,a Jerry Bruckheimer
1,annoying rather than charming
2,logical loopholes
2,of `` Lilo ''
3,is a wartime farce in the alternately comic and gut-wrenching style of Joseph Heller or Kurt Vonnegut .
2,following your dream and
1,Owen Wilson know a movie must have a story and a script ?
4,'s always enthralling
2,too preachy
1,it 's undone by a sloppy script
2,why it works as well
1,in sorrow
2,its content
2,we know it
3,watching A Walk To Remember
2,did they film performances
2,you choose to make
2,Writer\/director David Caesar
2,historical pageants
1,lower I.Q.
3,even witty
2,and solemn words
3,powerful 1957 drama
3,giddy and whimsical and relevant today
3,that leads up to a strangely sinister happy ending
0,a badly handled screenplay
2,challenged
2,vicarious redemption
1,is not
2,Tunisian film I
2,the core
3,a disquieting and thought-provoking film
2,is still straining to produce another smash
2,is loaded with familiar situations
2,David Koepp
2,from both sides
3,enough energy and excitement
0,is awful .
1,where the upbeat ending feels like a copout
2,you rolling your eyes in the dark
3,comic voice
0,seriously dumb
3,the mood is laid back
2,to scream
2,psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted
1,a pressure cooker of horrified awe
2,computer-generated images are the norm
2,-LRB- and exotic dancing -RRB-
1,the worst possibilities
2,into her own work
2,old and scary
2,Crush
2,an ingenue
1,more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach
1,David Spade as Citizen Kane ?
2,The Ya-Ya 's have many secrets and one is -
1,frightening late fees
2,The production values
1,to guilt-trip parents
2,surreal kid 's picture
2,The Mask
2,athlete
2,the historical
2,were the last movie left on earth
4,'s still a rollicking good time for the most part
2,eventual awakening
2,put in service of of others
2,comic book
3,pretty decent
2,self-destructive man
2,as long as there 's a little girl-on-girl action
2,pull an arrow out
0,An unholy mess
2,Adrian
4,the highest production values you 've ever seen
1,bores
2,than a few
3,The real charm
4,imaginative
2,from any other
2,Marcken and Marilyn Freeman
2,two men
2,flurries
1,It reduces the complexities to bromides and slogans
2,mikes
2,to a Kiss
2,escapist fare
3,allows a gawky actor like Spall -- who could too easily become comic relief in any other film --
3,funny stuff in this movie
4,a sterling ensemble cast
3,Horns and Halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .
2,school swimming
2,continuity
2,be a character study
4,a captivating drama
2,are immune to the folly of changing taste and attitude .
2,shedding
2,found in anime like this
2,a dumb story
4,one of a really solid Woody Allen film
2,not to mention gently political
3,is actually one of its strengths .
2,coda
2,its expiry date
1,superficial and unrealized
2,your skin and
2,Pamela
2,for corniness and cliche
2,'s praises
2,abstract Frank Tashlin comedy
2,expectation
2,Instead of making his own style
1,are uncomfortably strained .
2,about inspirational prep-school professors
2,O'Fallon
2,grasping actors ' workshop
3,whose engaging manner and flamboyant style
1,this obscenely bad dark comedy
3,swallow thanks to remarkable performances by Ferrera and Ontiveros
3,entirely convincing about The Quiet American
2,of The Graduate
2,the Vertical Limit
1,like done-to-death material
2,most aggressive
3,proves surprisingly serviceable
2,What John does
2,taking angry potshots
2,the process of trimming the movie to an expeditious 84 minutes
1,of a legal thriller
2,painting this family dynamic for the audience
2,marking off
2,The script by Vincent R. Nebrida
1,Linklater
3,the delight of discovery
1,by a director so self-possessed he actually adds a period to his first name
2,never heard
2,called
1,Lilo & Stitch '' is n't the most edgy piece of Disney animation to hit the silver screen
2,unravels
2,big corner office
2,small-budget film
2,technology to take the viewer inside the wave
2,acting talents
2,tiny revelations
1,paved with good intentions leads to the video store
4,a satisfying evening at the multiplex
2,it interested
2,the issue
2,of Dickens ' grandeur
2,like you 've endured a long workout without your pulse ever racing
0,is a load of clams left in the broiling sun for a good three days
2,Shapiro
1,and it is n't that funny
2,does to the experiences of most teenagers .
2,dual
2,something Galinsky and Hawley could have planned for
2,one big point to Promises
2,do bad things to and with each other in `` Unfaithful . ''
2,like one of those conversations
1,to have been lost in the translation this time
1,this dreck
2,The narrator and the other characters
4,contrasting the sleekness of the film 's present with the playful paranoia of the film 's past
2,pull an arrow out of his back
1,sure where self-promotion ends and the truth begins
2,hotter
2,waiting for things to happen
2,and Mr. Pryce
2,in Williams
2,an unlikely release
1,bad action-movie line
2,self-esteem
2,relaxed
2,British persona
3,a seriously intended movie
3,moralizing
1,is n't a very
1,combined with indoctrinated prejudice
1,cheesy
2,castle
4,`` Red Dragon '' is entertaining .
2,an average student 's self-esteem
2,glamour and sleaze
2,Jones
3,it must be said that he is an imaginative filmmaker who can see the forest for the trees .
3,smarter and subtler
2,be of interest
2,idea -LRB- of middle-aged romance -RRB-
1,through the audience 's meat grinder one more
3,as funny
2,the action speeds up
0,that just seem like a bad idea from frame one
2,aesthetics
1,stitched together from stock situations and characters
1,on some levels
4,Very well-written and very well-acted
2,that was right about Blade
2,City locations
3,is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .
1,undistinguished attempt to make a classic theater piece
1,by childlike dimness and a handful of quirks
1,More trifle than triumph .
2,abroad
1,make a film in which someone has to be hired to portray Richard Dawson
1,'s an unhappy situation
2,more fragile
3,a feature debut that is fully formed and remarkably assured
3,the big metaphorical wave that is life -- wherever it takes you
2,a Globetrotters-Generals game
3,satisfying kids flck
2,the second half
3,never fails him
3,particularly memorable
3,ENOUGH is just the ticket you need .
2,in still-raw emotions
1,overrun modern-day comedies
3,on the strength of their own cleverness
1,the limited chemistry created by Ralph Fiennes and Jennifer Lopez
2,may put off insiders and outsiders alike
4,a spectacular performance - ahem
2,odd but
1,that miss
3,to big box office bucks all but guaranteed
3,ca n't miss it .
2,feeling like you 've endured a long workout without your pulse ever racing
2,slow study
2,balancing its violence with Kafka-inspired philosophy
1,lightweight female empowerment
2,Alfred Hitchcock 's thrillers
2,its sob-story trappings
3,likely to see all year
2,the face of life 's harshness
1,whatever flaws Igby Goes Down may possess
3,because he gives the story some soul
4,a solid cast
2,Cristo
2,While it has definite weaknesses
2,recreating it an
2,in 1952
2,a spiritual aspect of their characters ' suffering
2,martinet music instructor
3,the astonishingly pivotal role
2,scenic appeal
2,for the malls
1,me realize that we really have n't had a good cheesy B-movie playing in theaters since ... well ... since last week 's Reign of Fire
0,a frustrating patchwork :
3,a lot of energy
2,Wraps itself
2,Selby
2,Raymond J. Barry as the ` assassin '
2,of the resonant and sense-spinning Run Lola Run
1,Only masochistic moviegoers need apply .
3,stakes out the emotional heart of Happy .
2,up ending
1,sleepwalk through vulgarities in a sequel you can refuse
1,surprisingly anemic disappointment
1,apparently nobody here bothered to check it twice .
2,John Ridley
4,rendered with such clarity
2,whose restatement
1,too heavy for the plot
0,sit through about 90 minutes of a so-called ` comedy ' and not laugh once
2,style and themes
2,to stomach so much tongue-in-cheek weirdness
2,Sea swings
2,Dirty Deeds
1,Filmmaker Stacy Peralta has a flashy editing style that does n't always jell with Sean Penn 's monotone narration
0,a shameless ` 70s blaxploitation shuck-and-jive sitcom
3,the respect they
3,More good than great but Freeman and Judd make it work .
2,such a character
3,Director Peter Kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage .
1,think this movie loves women at all
1,becomes one more dumb high school comedy about sex gags and prom dates
2,formulaic mainstream movies
1,who are trying to make their way through this tragedy
3,Fiji diver Rusi Vulakoro and the married couple Howard and Michelle Hall -RRB-
3,to have the best of both worlds
3,Often shocking but ultimately worthwhile
2,As underwater ghost stories go
2,most mature
3,a nice change of mindless pace in collision
1,a re-hash
2,feral in this film
1,is n't downright silly
3,is widely seen and debated with appropriate ferocity and thoughtfulness
3,love .
1,chaotic
2,had already seen that movie
4,it also treats the subject with fondness and respect
2,of day
4,Simultaneously heart-breaking and very funny
3,smart-aleck movie
2,all its social and political potential
3,pop up in nearly every corner of the country
1,the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground
2,75
4,dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace
2,situation romance
2,in handy
2,a household name
0,milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title
3,New Age-inspired good intentions
2,pregnancy
2,being `` in the mood '' to view a movie as harrowing
2,He drags it back
1,of self-congratulation between actor and director
1,fantasy pablum
1,also decidedly uncinematic
3,music you may not have heard before
2,the damage
2,high-strung but flaccid
4,able to create an engaging story that keeps you guessing at almost every turn
3,be fertile sources of humor
2,the humiliation of Martin
3,have put together a bold biographical fantasia
4,the still-inestimable contribution they have made to our shared history
3,treat for its depiction on not giving up on dreams when you 're a struggling nobody
2,the new thriller
3,find millions of eager fans
1,a total lack of empathy
3,similarly styled Gremlins
1,ruins itself
2,using an omniscient voice-over narrator in the manner of French New Wave films
2,acerbic laughs
2,`` hi
2,of the cult
2,'ll be shaking your head all the way to the credits
0,'s no real reason to see it
2,a caricature
3,A coming-of-age movie
1,by a self-indulgent script
2,about ready to go to the U.N. and ask permission for a preemptive strike
2,enough unexpected twists
2,pre-WWII drama
2,yarn .
2,hushed
2,the boy puppet Pinocchio
2,low
2,By not averting his eyes
2,either Esther 's initial anomie
1,slack execution
3,that `` Pretty Woman '' wanted to be
1,the very special type of badness that is Deuces Wild
2,Got a David Lynch
2,unsaid
1,were once amusing
2,a bit more craft
2,visual sequence
2,any in the heart-breakingly extensive annals of white-on-black racism
0,stuck in an inarticulate screenplay
3,decent kid-pleasing
2,heights
2,scary about feardotcom
2,serial
2,does somehow
3,an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition
1,beginning with the pale script
1,too blatant
2,To the degree
2,toddler
2,usual bad boy weirdo role
2,quiet blue eyes
3,some interesting storytelling devices
3,first-class
2,to the key grip
2,sticking its head
3,'s work as well as a remarkably faithful one .
2,compromised by that
2,careful handling
4,`` The best Disney movie
0,'ll wait in vain for a movie to happen
2,take a look at his kin 's reworked version
1,if you have no interest in the gang-infested
3,establishes a realistic atmosphere that involves us in the unfolding crisis
0,grows on you -- like a rash .
2,Nachtwey
4,very charming and funny
2,do n't care who fires the winning shot
3,a lesson in prehistoric hilarity .
2,enough sweet and traditional romantic
2,in where filmmaking can take us
2,Does an impressive job of relating the complicated history of the war
2,#NOM?
2,is little question
3,a cinematic poem
0,Pair that with really poor comedic writing ...
1,delete key
3,a flick boasting this many genuine cackles
2,blended
2,does because of the performances
2,the auditorium feeling
2,black
2,as Cho may have intended
2,between XXX and Vertical Limit
3,had been developed with more care
2,turf wars
1,utter loss personified in the film 's simple title
3,It 's an experience in understanding a unique culture that is presented with universal appeal .
2,cultivation and devotion
2,Made for teens and reviewed as such
4,humane and important
2,prefer
2,Eyre 's -RRB-
2,Einstein 's
2,bad guys
2,Ong 's
2,scary parts
2,of the mill
2,than any other recent film
3,genuinely bone-chilling tale
2,and thoughtful and brimming
2,after-school special
2,deep-seated
1,winds up feeling like a great missed opportunity
3,yet surprisingly entertaining
3,of pleasure or sensuality
2,'re all naughty
1,for it other than its exploitive array of obligatory cheap
2,subtitles and the original Italian-language soundtrack
2,Reno -RRB-
3,surprisingly funny movie
2,than many
3,are easy to forgive because the intentions are lofty
2,by showing the humanity of a war-torn land
3,Berry 's saucy
2,previously gave us `` The Skulls ''
1,morally bankrupt
2,are ones in formulaic mainstream movies .
1,trite and overused
1,liberal doses
1,just another situation romance
2,the company of others
1,unsettling subject matter
2,the haphazardness
2,flirts with bathos and pathos and the further Oprahfication of the world
2,a slew
3,serenity and discipline
3,draws its considerable power
2,their bodies exposed
3,A memorable experience
2,redeeming about this movie
3,raw urban humor
3,to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists
2,refers
2,feel guilty about it
2,moments of real pleasure to be found in Sara Sugarman 's whimsical comedy Very Annie-Mary but not enough to sustain the film
2,From both a great and a terrible story
1,'s no good answer to that one .
3,youthful and good-looking diva
2,from an American director in years
2,you do n't laugh
2,the young Bette Davis
3,are The Greatest Musicians of All Time
1,whenever the film 's lamer instincts are in the saddle
2,of Mostly Martha
2,Puts to rest any
2,rappers
2,Live-style parody
2,Abagnale 's
1,be in video stores by Christmas
2,the picture compelling
2,If it 's unnerving suspense you 're after
1,low-tech magic realism
3,Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .
1,mutates into a gross-out monster movie with effects that are more silly than scary
3,the buoyant energy level of the film 's city beginnings
2,at hardass American
1,A handsome but unfulfilling suspense drama more suited to a quiet evening on PBS than a night out at an AMC .
3,whole family
2,does Rabbit-Proof Fence find the authority it 's looking for .
2,billing
2,Aniston -RRB- has always needed to grow into a movie career
2,you think it 's in danger of going wrong
4,breathtakingly assured and stylish
1,With its parade of almost perpetually wasted characters
2,'s not an easy one to review .
1,is really only one movie 's worth of decent gags to be gleaned from the premise
2,the corporate circus
2,its 2002 children 's
2,The leads we are given here
0,cold-fish
2,marketable
2,write and deliver
2,Right Thing
1,modern action\/comedy buddy movie whose only nod to nostalgia is in the title
2,personality type
3,my ribcage
2,been born to make
2,thumbing his nose at convention
2,a loop
2,is any indication
0,by a script that assumes you are n't very bright
3,a worthwhile environmental message
1,... a pretentious and ultimately empty examination of a sick and evil woman .
2,this quirky soccer import
2,start
0,really bad imitation
3,keep you reasonably entertained
2,there 's
4,A slam-bang extravaganza that
4,makes an amazing breakthrough in her first starring role
2,Interview With the Assassin is structured less as a documentary and more as a found relic
2,take on the soullessness of work in the city
2,thematic heft
3,each moment of this broken character study is rich in emotional texture
2,more emphasis
2,to have directly influenced this girl-meets-girl love story
1,is n't that Stealing Harvard is a horrible movie -- if only it were that grand a failure
1,to a climax that 's scarcely a surprise by the time
1,decomposition
1,are so unmemorable
2,Less about Shakespeare than the spawn of fools who saw Quentin Tarantino 's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations .
2,of more recent successes such as `` Mulan '' or `` Tarzan
3,the Battle Bots
2,leaping
2,all men
2,Escape From New York series
3,Quentin Tarantino 's climactic shootout
2,altered footage
2,tight pants and big tits
1,by the time the credits roll across the pat ending
0,Get out your pooper-scoopers .
1,it never seems fresh and vital .
2,Solondz 's thirst
1,feel sanitised and stagey .
2,of the working class to life
0,am more offended by his lack of faith in his audience than by anything on display here
1,that gives pic its title an afterthought
0,MTV schmucks
2,as much as it gives out
2,anything approaching a visceral kick
2,its insights
2,of ` Nicholas Nickleby '
0,wo n't stand the cold light of day
2,wave
2,with the film
2,is never really a true `` us '' versus `` them ''
2,you think that every possible angle has been exhausted by documentarians
2,In visual fertility
2,disparate
4,splendid production design
3,as does its sensitive handling of some delicate subject matter
1,overblown and
2,Middle East struggle
2,one truth
2,more darkly
0,hopes to camouflage how bad his movie is
2,from Bebe Neuwirth
2,over every point
3,struck less by its lavish grandeur
2,half-sleep
3,a major director
3,the visual panache
2,' we nod in agreement .
2,the first installment
3,soul-searching
2,to Catherine Breillat 's Fat Girl
2,in an American film
2,departs from his fun friendly demeanor in exchange for a darker unnerving role
2,of living mug shots
2,gone the way of Don Simpson
2,as raw
1,be another shameless attempt by Disney to rake in dough from baby boomer families
2,the timeless danger
1,is n't very good
4,combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream .
4,surprisingly well
2,of `` Abandon ''
2,Britney 's latest album
2,at and not a Hollywood product
2,the constraints of its source
2,the raising of something other
2,to everybody
2,corn
3,a good ear for dialogue
2,very history
3,very right
2,turbulent
1,makes me feel weird \/ Thinking about all the bad things in the world \/ Like puppies with broken legs \/ And butterflies that die \/ And movies starring pop queens
3,addition to gluing you to the edge of your seat
2,urine
1,careless and
1,the movie has no idea of it is serious
1,crap is what I was expecting
3,creative instincts
1,bears a grievous but obscure complaint against fathers
3,believe Silberling had the best intentions here
1,And people make fun of me for liking Showgirls .
4,Moore provides an invaluable service by sparking debate and encouraging thought .
3,A beautiful paean to a time long past .
2,B movie way
2,the couple 's
1,almost unimaginable horror
2,who has seen The Hunger or Cat People
1,playful without being fun
2,have never
1,infuriatingly quirky and taken with its own style .
2,doodled Steamboat Willie
4,gorgeous and finely detailed
4,it is a whole lot of fun
1,too-extreme-for-TV
2,of the film 's virtues
3,Visually breathtaking
4,are scenes of cinematic perfection that steal your heart away .
2,inner consciousness
2,balances
3,winning flight of revisionist fancy
1,are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching
2,schedule
1,with lingering questions about what the film is really getting at
2,more ambivalent
2,if that 's not too glorified a term --
2,at a window
3,The enjoyable Undercover Brother
2,Monty Pythonesque flavor
3,frightening and compelling
2,blues and
2,Quaid 's
2,minus
2,galore
2,-LRB- the Funk Brothers -RRB-
2,new world
2,to his closest friends
2,took
2,Donovan and Mary-Louise Parker
2,Sade set
4,a great piece to watch with kids and use to introduce video as art
2,'ll be lucky
0,'ll be thinking of 51 ways to leave this loser .
1,milks drama when she should be building suspense
2,in its own head
2,The Hot Chick
1,This New Zealand coming-of-age movie is n't really about anything .
2,elicited no sympathies for any of the characters
2,is n't going to win any Academy Awards
2,designed to garner the film a `` cooler '' PG-13 rating
2,is given relatively dry material from Nijinsky 's writings to perform
2,to ride bikes
3,wholesome fantasy
2,can hardly
2,is playing the obvious game
2,see Robin Williams and psycho killer
2,target demographics
2,XXX ''
2,docs
0,tumbleweeds blowing through the empty theatres
2,relatively effective little
3,meets those standards
